,technology,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
0,Nuclear,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
1,Lignite,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
2,Coal,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
3,Gas,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
4,Oil,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
5,Other,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
6,Waste,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
7,RoR,0.739919355,0.680089286,0.740040323,0.770111111,0.850026882,0.869791667,0.719865591,0.620026882,0.640055556,0.680120968,0.770041667,0.799919355
8,Biomass,0.7,0.689951905,0.6625,0.625,0.5875,0.560048095,0.55,0.560048095,0.5875,0.625,0.6625,0.689951905
9,Geothermal,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
10,Dam,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966
