,scenario,year,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
0,Historic,2017,AT,Biomass,Biomass,YES,473.8,0.36,0,2.6,0,AT_Biomass
1,Historic,2017,AT,Coal,Coal,YES,598,0.38,0.349,6.6,0,AT_Coal
2,Historic,2017,AT,Dam,Hydro,NO,2952.690873,1,0,2.6,0,AT_Dam
3,Historic,2017,AT,Gas,Gas,YES,4465.8,0.53,0.205,4.6,0,AT_Gas
4,Historic,2017,AT,Lignite,Lignite,YES,0,0.37,0.364,8.3,0,AT_Lignite
5,Historic,2017,AT,Nuclear,Uran,NO,0,0.36,0,1.8,0,AT_Nuclear
6,Historic,2017,AT,Oil,Oil,YES,177.9,0.4,0.28,1.5,0,AT_Oil
7,Historic,2017,AT,Other,Other,NO,200.3,0.45,0.375,0,0,AT_Other
8,Historic,2017,AT,PSClosed,Hydro,NO,0,0.75,0,0,0,AT_PSClosed
9,Historic,2017,AT,PSOpen,Hydro,NO,3770.826963,0.75,0,0,0,AT_PSOpen
10,Historic,2017,AT,RoR,Hydro,NO,5580.8,1,0,2.6,0,AT_RoR
11,Historic,2017,AT,Solar,RES,NO,1031,1,0,0,0,AT_Solar
12,Historic,2017,AT,WindOff,RES,NO,0,1,0,0,0,AT_WindOff
13,Historic,2017,AT,WindOn,RES,NO,2696,1,0,0,0,AT_WindOn
14,Historic,2017,BE,Biomass,Biomass,YES,598.11,0.36,0,2.6,0,BE_Biomass
15,Historic,2017,BE,Dam,Hydro,NO,0,1,0,2.6,0,BE_Dam
16,Historic,2017,BE,Gas,Gas,YES,6463.53,0.53,0.205,4.6,0,BE_Gas
17,Historic,2017,BE,Nuclear,Uran,NO,5943,0.36,0,1.8,0,BE_Nuclear
18,Historic,2017,BE,Oil,Oil,YES,224.2,0.4,0.28,1.5,0,BE_Oil
19,Historic,2017,BE,Other,Other,NO,361.54,0.45,0.375,0,0,BE_Other
20,Historic,2017,BE,PSClosed,Hydro,NO,1308,0.75,0,0,0,BE_PSClosed
21,Historic,2017,BE,PSOpen,Hydro,NO,0,0.75,0,0,0,BE_PSOpen
22,Historic,2017,BE,RoR,Hydro,NO,169.57,1,0,2.6,0,BE_RoR
23,Historic,2017,BE,Solar,RES,NO,2952.78,1,0,0,0,BE_Solar
24,Historic,2017,BE,WindOff,RES,NO,877.2,1,0,0,0,BE_WindOff
25,Historic,2017,BE,WindOn,RES,NO,1744.72,1,0,0,0,BE_WindOn
26,Historic,2017,BG,Biomass,Biomass,YES,74,0.36,0,2.6,0,BG_Biomass
27,Historic,2017,BG,Coal,Coal,YES,362,0.38,0.349,6.6,0,BG_Coal
28,Historic,2017,BG,Dam,Hydro,NO,1347,1,0,2.6,0,BG_Dam
29,Historic,2017,BG,Gas,Gas,YES,561,0.53,0.205,4.6,0,BG_Gas
30,Historic,2017,BG,Lignite,Lignite,YES,4119,0.37,0.364,8.3,0,BG_Lignite
31,Historic,2017,BG,Nuclear,Uran,NO,2000,0.36,0,1.8,0,BG_Nuclear
32,Historic,2017,BG,Other,Other,NO,6,0.45,0.375,0,0,BG_Other
33,Historic,2017,BG,PSClosed,Hydro,NO,864,0.75,0,0,0,BG_PSClosed
34,Historic,2017,BG,PSOpen,Hydro,NO,535,0.75,0,0,0,BG_PSOpen
35,Historic,2017,BG,RoR,Hydro,NO,530,1,0,2.6,0,BG_RoR
36,Historic,2017,BG,Solar,RES,NO,1046,1,0,0,0,BG_Solar
37,Historic,2017,BG,WindOn,RES,NO,701,1,0,0,0,BG_WindOn
38,Historic,2017,CH,Dam,Hydro,NO,7368.211707,1,0,2.6,0,CH_Dam
39,Historic,2017,CH,Nuclear,Uran,NO,3373,0.36,0,1.8,0,CH_Nuclear
40,Historic,2017,CH,PSClosed,Hydro,NO,3741.095366,0.75,0,0,0,CH_PSClosed
41,Historic,2017,CH,PSOpen,Hydro,NO,0,0.75,0,0,0,CH_PSOpen
42,Historic,2017,CH,RoR,Hydro,NO,190,1,0,2.6,0,CH_RoR
43,Historic,2017,CZ,Biomass,Biomass,YES,350,0.36,0,2.6,0,CZ_Biomass
44,Historic,2017,CZ,Coal,Coal,YES,1200,0.38,0.349,6.6,0,CZ_Coal
45,Historic,2017,CZ,Dam,Hydro,NO,697.7,1,0,2.6,0,CZ_Dam
46,Historic,2017,CZ,Gas,Gas,YES,1606,0.53,0.205,4.6,0,CZ_Gas
47,Historic,2017,CZ,Lignite,Lignite,YES,7929,0.37,0.364,8.3,0,CZ_Lignite
48,Historic,2017,CZ,Nuclear,Uran,NO,4040,0.36,0,1.8,0,CZ_Nuclear
49,Historic,2017,CZ,Oil,Oil,YES,0,0.4,0.28,1.5,0,CZ_Oil
50,Historic,2017,CZ,Other,Other,NO,500,0.45,0.375,0,0,CZ_Other
51,Historic,2017,CZ,PSClosed,Hydro,NO,688.1,0.75,0,0,0,CZ_PSClosed
52,Historic,2017,CZ,PSOpen,Hydro,NO,470.4,0.75,0,0,0,CZ_PSOpen
53,Historic,2017,CZ,RoR,Hydro,NO,334,1,0,2.6,0,CZ_RoR
54,Historic,2017,CZ,Solar,RES,NO,2027,1,0,0,0,CZ_Solar
55,Historic,2017,CZ,WindOn,RES,NO,277,1,0,0,0,CZ_WindOn
56,Historic,2017,DE,Biomass,Biomass,YES,7080.25,0.36,0,2.6,0,DE_Biomass
57,Historic,2017,DE,Coal,Coal,YES,27437,0.38,0.349,6.6,0,DE_Coal
58,Historic,2017,DE,Dam,Hydro,NO,1437.891371,1,0,2.6,0,DE_Dam
59,Historic,2017,DE,Gas,Gas,YES,32627,0.53,0.205,4.6,0,DE_Gas
60,Historic,2017,DE,Lignite,Lignite,YES,21262,0.37,0.364,8.3,0,DE_Lignite
61,Historic,2017,DE,Nuclear,Uran,NO,10793,0.36,0,1.8,0,DE_Nuclear
62,Historic,2017,DE,Oil,Oil,YES,4614,0.4,0.28,1.5,0,DE_Oil
63,Historic,2017,DE,Other,Other,NO,3655.83,0.45,0.375,0,0,DE_Other
64,Historic,2017,DE,PSClosed,Hydro,NO,6953.403931,0.75,0,0,0,DE_PSClosed
65,Historic,2017,DE,PSOpen,Hydro,NO,1551.913666,0.75,0,0,0,DE_PSOpen
66,Historic,2017,DE,RoR,Hydro,NO,4007.13,1,0,2.6,0,DE_RoR
67,Historic,2017,DE,Solar,RES,NO,40834.46,1,0,0,0,DE_Solar
68,Historic,2017,DE,WindOff,RES,NO,4131.3,1,0,0,0,DE_WindOff
69,Historic,2017,DE,WindOn,RES,NO,47042,1,0,0,0,DE_WindOn
70,Historic,2017,DK,Biomass,Biomass,YES,842.45,0.36,0,2.6,0,DK_Biomass
71,Historic,2017,DK,Coal,Coal,YES,2261.77,0.38,0.349,6.6,0,DK_Coal
72,Historic,2017,DK,Gas,Gas,YES,2941,0.53,0.205,4.6,0,DK_Gas
73,Historic,2017,DK,Oil,Oil,YES,1051,0.4,0.28,1.5,0,DK_Oil
74,Historic,2017,DK,Other,Other,NO,451,0.45,0.375,0,0,DK_Other
75,Historic,2017,DK,RoR,Hydro,NO,9,1,0,2.6,0,DK_RoR
76,Historic,2017,DK,Solar,RES,NO,601,1,0,0,0,DK_Solar
77,Historic,2017,DK,WindOff,RES,NO,1271,1,0,0,0,DK_WindOff
78,Historic,2017,DK,WindOn,RES,NO,3574,1,0,0,0,DK_WindOn
79,Historic,2017,EE,Biomass,Biomass,YES,86,0.36,0,2.6,0,EE_Biomass
80,Historic,2017,EE,Coal,Coal,YES,0,0.38,0.349,6.6,0,EE_Coal
81,Historic,2017,EE,Gas,Gas,YES,214.4,0.53,0.205,4.6,0,EE_Gas
82,Historic,2017,EE,Lignite,Lignite,YES,0,0.37,0.364,8.3,0,EE_Lignite
83,Historic,2017,EE,Nuclear,Uran,NO,0,0.36,0,1.8,0,EE_Nuclear
84,Historic,2017,EE,Oil,Oil,YES,1976,0.4,0.28,1.5,0,EE_Oil
85,Historic,2017,EE,Other,Other,NO,26,0.45,0.375,0,0,EE_Other
86,Historic,2017,EE,RoR,Hydro,NO,8,1,0,2.6,0,EE_RoR
87,Historic,2017,EE,Solar,RES,NO,1.4,1,0,0,0,EE_Solar
88,Historic,2017,EE,WindOff,RES,NO,0,1,0,0,0,EE_WindOff
89,Historic,2017,EE,WindOn,RES,NO,384,1,0,0,0,EE_WindOn
90,Historic,2017,ES,Biomass,Biomass,YES,540.5,0.36,0,2.6,0,ES_Biomass
91,Historic,2017,ES,Coal,Coal,YES,9534.7,0.38,0.349,6.6,0,ES_Coal
92,Historic,2017,ES,Dam,Hydro,NO,10951.37842,1,0,2.6,0,ES_Dam
93,Historic,2017,ES,Gas,Gas,YES,30723.1,0.53,0.205,4.6,0,ES_Gas
94,Historic,2017,ES,Lignite,Lignite,YES,0,0.37,0.364,8.3,0,ES_Lignite
95,Historic,2017,ES,Nuclear,Uran,NO,7572.4,0.36,0,1.8,0,ES_Nuclear
96,Historic,2017,ES,Oil,Oil,YES,715.2,0.4,0.28,1.5,0,ES_Oil
97,Historic,2017,ES,Other,Other,NO,896.1,0.45,0.375,0,0,ES_Other
98,Historic,2017,ES,PSClosed,Hydro,NO,3330,0.75,0,0,0,ES_PSClosed
99,Historic,2017,ES,PSOpen,Hydro,NO,2683,0.75,0,0,0,ES_PSOpen
100,Historic,2017,ES,RoR,Hydro,NO,1156.3,1,0,2.6,0,ES_RoR
101,Historic,2017,ES,Solar,RES,NO,6720.4,1,0,0,0,ES_Solar
102,Historic,2017,ES,WindOff,RES,NO,0,1,0,0,0,ES_WindOff
103,Historic,2017,ES,WindOn,RES,NO,22812.7,1,0,0,0,ES_WindOn
104,Historic,2017,FI,Biomass,Biomass,YES,1663,0.36,0,2.6,0,FI_Biomass
105,Historic,2017,FI,Coal,Coal,YES,2854,0.38,0.349,6.6,0,FI_Coal
106,Historic,2017,FI,Dam,Hydro,NO,3200,1,0,2.6,0,FI_Dam
107,Historic,2017,FI,Gas,Gas,YES,1795,0.53,0.205,4.6,0,FI_Gas
108,Historic,2017,FI,Nuclear,Uran,NO,2782,0.36,0,1.8,0,FI_Nuclear
109,Historic,2017,FI,Oil,Oil,YES,2504,0.4,0.28,1.5,0,FI_Oil
110,Historic,2017,FI,Other,Other,NO,774,0.45,0.375,0,0,FI_Other
111,Historic,2017,FI,PSClosed,Hydro,NO,0,0.75,0,0,0,FI_PSClosed
112,Historic,2017,FI,PSOpen,Hydro,NO,0,0.75,0,0,0,FI_PSOpen
113,Historic,2017,FI,RoR,Hydro,NO,3107,1,0,2.6,0,FI_RoR
114,Historic,2017,FI,WindOn,RES,NO,1432,1,0,0,0,FI_WindOn
115,Historic,2017,FR,Biomass,Biomass,YES,170,0.36,0,2.6,0,FR_Biomass
116,Historic,2017,FR,Coal,Coal,YES,2930,0.38,0.349,6.6,0,FR_Coal
117,Historic,2017,FR,Dam,Hydro,NO,8427.503904,1,0,2.6,0,FR_Dam
118,Historic,2017,FR,Gas,Gas,YES,6696,0.53,0.205,4.6,0,FR_Gas
