,scenario,year,climateyear,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
304,Historic,2018,2018,AT,Biomass,Biomass,YES,491.0,0.45,0.0,2.6,0.0,AT_Biomass
305,Historic,2018,2018,AT,Coal,Coal,YES,598.0,0.46,0.383333,6.6,0.0,AT_Coal
306,Historic,2018,2018,AT,Dam,Hydro,NO,2972.3097509427776,1.0,0.0,2.6,0.0,AT_Dam
307,Historic,2018,2018,AT,Gas,Gas,YES,4467.7,0.6,0.227848,4.6,0.0,AT_Gas
308,Historic,2018,2018,AT,Lignite,Lignite,YES,0.0,0.43,0.485379,8.3,0.0,AT_Lignite
309,Historic,2018,2018,AT,Nuclear,Uran,NO,0.0,0.43,0.0,11.25,0.0,AT_Nuclear
310,Historic,2018,2018,AT,Oil,Oil,YES,177.9,0.4,0.32,1.5,0.0,AT_Oil
311,Historic,2018,2018,AT,Other,Other,NO,215.8,0.45,0.375,0.0,0.0,AT_Other
312,Historic,2018,2018,AT,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,AT_PSClosed
313,Historic,2018,2018,AT,PSOpen,Hydro,NO,3770.826963238358,0.75,0.0,0.0,0.0,AT_PSOpen
314,Historic,2018,2018,AT,RoR,Hydro,NO,5604.7,1.0,0.0,2.6,0.0,AT_RoR
315,Historic,2018,2018,AT,Solar,RES,NO,1193.0,1.0,0.0,0.0,0.0,AT_Solar
316,Historic,2018,2018,AT,WindOff,RES,NO,0.0,1.0,0.0,0.0,0.0,AT_WindOff
317,Historic,2018,2018,AT,WindOn,RES,NO,2887.0,1.0,0.0,0.0,0.0,AT_WindOn
318,Historic,2018,2018,BE,Biomass,Biomass,YES,598.14,0.45,0.0,2.6,0.0,BE_Biomass
319,Historic,2018,2018,BE,Dam,Hydro,NO,0.0,1.0,0.0,2.6,0.0,BE_Dam
320,Historic,2018,2018,BE,Gas,Gas,YES,6533.63,0.6,0.227848,4.6,0.0,BE_Gas
321,Historic,2018,2018,BE,Nuclear,Uran,NO,5943.0,0.43,0.0,11.25,0.0,BE_Nuclear
322,Historic,2018,2018,BE,Oil,Oil,YES,239.13,0.4,0.32,1.5,0.0,BE_Oil
323,Historic,2018,2018,BE,Other,Other,NO,362.14,0.45,0.375,0.0,0.0,BE_Other
324,Historic,2018,2018,BE,PSClosed,Hydro,NO,1308.0,0.75,0.0,0.0,0.0,BE_PSClosed
