,scenario,year,country_sym,technology,MW
0,Historic,2019,AT,PSClosed,0
1,Historic,2019,AT,PSOpen,2559.726
2,Historic,2019,BE,PSClosed,1150
3,Historic,2019,BE,PSOpen,0
4,Historic,2019,BG,PSClosed,784
5,Historic,2019,BG,PSOpen,148
6,Historic,2019,CH,PSClosed,3938
7,Historic,2019,CH,PSOpen,0
8,Historic,2019,CZ,PSClosed,664
9,Historic,2019,CZ,PSOpen,438
10,Historic,2019,DE,PSClosed,7094
11,Historic,2019,DE,PSOpen,1361
12,Historic,2019,ES,PSClosed,3142
13,Historic,2019,ES,PSOpen,2424
14,Historic,2019,FI,PSClosed,0
15,Historic,2019,FI,PSOpen,0
16,Historic,2019,FR,PSClosed,1950
17,Historic,2019,FR,PSOpen,1850
18,Historic,2019,GB,PSClosed,2744
19,Historic,2019,GB,PSOpen,0
20,Historic,2019,GR,PSClosed,0
21,Historic,2019,GR,PSOpen,622
22,Historic,2019,HR,PSClosed,0
23,Historic,2019,HR,PSOpen,200
24,Historic,2019,HU,PSClosed,0
25,Historic,2019,HU,PSOpen,0
26,Historic,2019,IE,PSClosed,292
27,Historic,2019,IE,PSOpen,0
28,Historic,2019,IT,PSClosed,4074
29,Historic,2019,IT,PSOpen,2339
30,Historic,2019,LT,PSClosed,900
31,Historic,2019,LT,PSOpen,0
32,Historic,2019,LV,PSClosed,0
33,Historic,2019,LV,PSOpen,0
34,Historic,2019,NL,PSClosed,0
35,Historic,2019,NL,PSOpen,0
36,Historic,2019,NO,PSClosed,0
37,Historic,2019,NO,PSOpen,1115
38,Historic,2019,PL,PSClosed,1486
39,Historic,2019,PL,PSOpen,172
40,Historic,2019,PT,PSClosed,0
41,Historic,2019,PT,PSOpen,2698
42,Historic,2019,RO,PSClosed,0
43,Historic,2019,RO,PSOpen,1033
44,Historic,2019,SE,PSClosed,0
45,Historic,2019,SE,PSOpen,0
46,Historic,2019,SI,PSClosed,0
47,Historic,2019,SI,PSOpen,180
48,Historic,2019,SK,PSClosed,649.86
49,Historic,2019,SK,PSOpen,178.28
