,scenario,year,country_sym,technology,MWh
0,Historic,2019,AT,PSClosed,0
1,Historic,2019,AT,PSOpen,1722178
2,Historic,2019,AT,Dam,762386.2
3,Historic,2019,BE,PSClosed,5300
4,Historic,2019,BE,PSOpen,0
5,Historic,2019,BE,Dam,0
6,Historic,2019,BG,PSClosed,9400
7,Historic,2019,BG,PSOpen,255300
8,Historic,2019,BG,Dam,843000
9,Historic,2019,CH,PSClosed,670000
10,Historic,2019,CH,PSOpen,0
11,Historic,2019,CH,Dam,8155000
12,Historic,2019,CZ,PSClosed,3700
13,Historic,2019,CZ,PSOpen,2300
14,Historic,2019,CZ,Dam,2500
15,Historic,2019,DE,PSClosed,360000
16,Historic,2019,DE,PSOpen,417000
17,Historic,2019,DE,Dam,258000
18,Historic,2019,ES,PSClosed,95400
19,Historic,2019,ES,PSOpen,6185000
20,Historic,2019,ES,Dam,11840000
21,Historic,2019,FI,PSClosed,0
22,Historic,2019,FI,PSOpen,0
23,Historic,2019,FI,Dam,5530000
24,Historic,2019,FR,PSClosed,10000
25,Historic,2019,FR,PSOpen,90000
26,Historic,2019,FR,Dam,10000000
27,Historic,2019,GB,PSClosed,26700
28,Historic,2019,GB,PSOpen,0
29,Historic,2019,GB,Dam,0
30,Historic,2019,GR,PSClosed,0
31,Historic,2019,GR,PSOpen,4500
32,Historic,2019,GR,Dam,3500000
33,Historic,2019,HR,PSClosed,0
34,Historic,2019,HR,PSOpen,18300
35,Historic,2019,HR,Dam,2045900
36,Historic,2019,HU,PSClosed,0
37,Historic,2019,HU,PSOpen,0
38,Historic,2019,HU,Dam,0
39,Historic,2019,IE,PSClosed,1720
40,Historic,2019,IE,PSOpen,0
41,Historic,2019,IE,Dam,0
42,Historic,2019,IT,PSClosed,22400
43,Historic,2019,IT,PSOpen,381880
44,Historic,2019,IT,Dam,5649100
45,Historic,2019,LT,PSClosed,10590
46,Historic,2019,LT,PSOpen,0
47,Historic,2019,LT,Dam,0
48,Historic,2019,LV,PSClosed,0
49,Historic,2019,LV,PSOpen,0
50,Historic,2019,LV,Dam,16000
51,Historic,2019,NL,PSClosed,0
52,Historic,2019,NL,PSOpen,0
53,Historic,2019,NL,Dam,0
54,Historic,2019,NO,PSClosed,0
55,Historic,2019,NO,PSOpen,86972990
56,Historic,2019,NO,Dam,0
57,Historic,2019,PL,PSClosed,6340
58,Historic,2019,PL,PSOpen,1500
59,Historic,2019,PL,Dam,820
60,Historic,2019,PT,PSClosed,0
61,Historic,2019,PT,PSOpen,1965600
62,Historic,2019,PT,Dam,1187000
63,Historic,2019,RO,PSClosed,0
64,Historic,2019,RO,PSOpen,92000
65,Historic,2019,RO,Dam,2142000
66,Historic,2019,SE,PSClosed,0
67,Historic,2019,SE,PSOpen,0
68,Historic,2019,SE,Dam,33246666.67
69,Historic,2019,SI,PSClosed,0
70,Historic,2019,SI,PSOpen,2600
71,Historic,2019,SI,Dam,0
72,Historic,2019,SK,PSClosed,4100
73,Historic,2019,SK,PSOpen,45550
74,Historic,2019,SK,Dam,0
