,country_sym,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,BE,7357000.0,7437000.0,11087000.0,11087000.0,13188000.0,15197000.0,14459000.0,12892058.361216914,12669694.837120237,12203752.292322082,12479000.0,12185000.0,12490391.6580229,11365511.0,12808433.0,13733834.78263247,13475728.596610282
1,BG,2716000.0,2766000.0,4050000.0,4491000.0,4038000.0000000005,3722000.0,3386000.0,2774000.0,3727000.0,2959000.0,2945000.0,3635000.0,3527000.0,3641000.0,3885000.0,3567847.619047619,3465806.984126985
2,CZ,13872000.0,12709000.0,11431000.0,11876000.0,11045000.0,12240000.0,11184000.0,11515000.0,11965000.0,11801000.0,11785000.0,8381000.0,7989153.51454139,10020223.359,9888124.334,9091928.025208632,8970913.559334576
3,DK,18888000.0,18626000.0,16739000.0,16777000.000000002,16479000.0,19100000.0,16265999.999999998,14999894.775353031,14100000.0,11492000.0,11568000.0,12034000.0,11815229.629736999,11410940.724142242,10609407.523807924,9671354.705255907,8996883.40799912
4,DE,78269000.0,80192000.0,77902000.0,79907000.0,77425000.0,83639000.0,80011999.99999999,79785000.0,79090000.0,75211600.0,79137000.0,88280000.0,94702700.0,88824100.0,87348268.99999999,88273135.54285729,89349771.62095265
5,EE,1038000.0,1042999.9999999999,869000.0,915000.0,807000.0,1335000.0,1335000.0,1165000.0,1233000.0,1239252.0,1239000.0,940000.0,1089000.0,1101570.0,1038560.9999999999,1165573.657142854,1176239.4990476181
6,IE,1020999.9999999999,1540000.0,1775000.0,1835000.0,1785000.0,1918000.0,1945000.0,2089000.0,2027000.0000000002,2041999.9999999998,2127000.0,2169000.0,2157320.76958708,2131099.969874617,2067243.7324027452,2350689.3398576947,2324882.750337906
7,GR,22881000.0,1050000.0,1014999.9999999999,1199000.0,1843000.0,2478000.0,2671000.0,2397000.0,1945000.0,1888000.0,2025000.0,2594000.0,2154000.0,2372340.0000000005,2211456.0,2628589.8461538297,2713899.006593408
8,ES,23207000.0,21937000.0,21647000.0,21984000.0,21974000.0,22419000.0,22092000.0,26386553.0,24104708.375158224,23292878.875199996,22703000.0,27482000.0,28766000.0,29002000.0,29716000.0,28775756.001230095,29729096.45154823
9,FR,600000.0,18422000.0,18426000.0,18039000.0,23369000.0,15689000.0,15689000.0,15158859.999999998,13902809.999999998,11624920.0,13943000.0,14961000.0,16641089.999999998,17284540.0,18058240.0,17052583.619047597,15073983.250793617
10,IT,27387000.0,30889000.0,32327000.0,30453000.0,29939000.0,34705000.0,34705000.0,35817000.0,36662000.0,36654000.0,39523000.0,40340000.0,40957000.0,39698000.0,40461211.0061975,42844341.982604876,43545950.95874174
11,LV,1505000.0,2084000.0,1953000.0,1772000.0,1098000.0,2981000.0,2888000.0,2105000.0,2379420.0,2440000.0,2476000.0,3116000.0,2837000.0,3073000.0,2649260.0000000005,3108061.714285725,3170353.9809523704
12,LT,2296000.0,1784000.0,1844000.0,1772000.0,2138000.0,1990000.0,1810000.0,1823000.0,1665000.0,1458000.0,1542000.0,1107000.0,1096000.0,924000.0,1088000.0,964952.3809523828,898663.4920634913
13,HU,6841000.0,8020000.0,8568000.0,8430000.0,7356000.0,7314000.0,5958000.0,4619000.0,3879875.610324282,3820296.956215064,4086000.0000000005,4820000.0,4647000.0,4286000.0,4580000.0,3210682.062228898,2682306.6340649575
14,NL,29467000.0,29421000.0,31053000.0,36207000.0,36384000.0,39241000.0,36709000.0,34527703.41666666,34767000.0,29964642.222222224,29783000.0,30776000.0,31408551.447949998,31191000.0,32238604.352803867,32012393.586085353,31230208.025051694
15,AT,10133000.0,10236000.0,9904000.0,10295000.0,9104000.0,10964000.0,10295000.0,10428588.863775276,9866099.71341305,8489038.59581014,9004000.0,10902000.0,9533847.641881,9426118.677414002,9722237.7277,9520113.260556385,9462164.476133524
