,t,chp_profile
0,1,0.000147456
1,2,0.000146895
2,3,0.000147514
3,4,0.000147185
4,5,0.000148753
5,6,0.00013501
6,7,0.000153205
7,8,0.00015456
8,9,0.000158064
9,10,0.000159902
10,11,0.000156128
11,12,0.000154831
12,13,0.000152837
13,14,0.000152779
14,15,0.000152005
15,16,0.000153689
16,17,0.000152857
17,18,0.000148327
18,19,0.00014765
19,20,0.000144088
20,21,0.000141746
21,22,0.000137759
22,23,0.000136501
23,24,0.000126784
24,25,0.00012359
25,26,0.000124422
26,27,0.000121112
27,28,0.00011666
28,29,0.000116564
29,30,0.000119274
30,31,0.000118422
31,32,0.000126571
32,33,0.00012659
33,34,0.000128371
34,35,0.000128797
35,36,0.000127055
36,37,0.000127848
37,38,0.000130249
38,39,0.000129358
39,40,0.000129784
40,41,0.00013021
41,42,0.000130036
42,43,0.000130674
43,44,0.000130713
44,45,0.000132436
45,46,0.000131313
46,47,0.000131468
47,48,0.000131836
48,49,0.000129881
49,50,0.000128352
50,51,0.0001299
51,52,0.000131836
52,53,0.000133268
53,54,0.000136268
54,55,0.000137333
55,56,0.000141649
56,57,0.000142095
57,58,0.000142579
58,59,0.000142114
59,60,0.000141688
60,61,0.000140469
61,62,0.000139753
62,63,0.000139907
63,64,0.000142385
64,65,0.000142753
65,66,0.00014134
66,67,0.000140024
67,68,0.000141804
68,69,0.000140643
69,70,0.000137914
70,71,0.000134797
71,72,0.000131584
72,73,0.00013081
73,74,0.000132939
74,75,0.000132765
75,76,0.000130713
76,77,0.000131275
77,78,0.000134623
78,79,0.000136694
79,80,0.00014192
80,81,0.000143856
81,82,0.000148521
82,83,0.00014705
83,84,0.000143217
84,85,0.000141359
85,86,0.000143856
86,87,0.000143295
87,88,0.000144379
88,89,0.000151095
89,90,0.000148231
90,91,0.000153728
91,92,0.000152702
92,93,0.000150553
93,94,0.000148463
94,95,0.000142211
95,96,0.000142946
96,97,0.000143856
97,98,0.000144669
98,99,0.000145521
99,100,0.000146082
100,101,0.000145889
101,102,0.000149818
102,103,0.000150399
103,104,0.000151599
104,105,0.000158683
105,106,0.000159864
106,107,0.00014794
107,108,0.000149644
108,109,0.000152934
109,110,0.000150379
110,111,0.000148424
111,112,0.000152741
112,113,0.000155509
113,114,0.000155102
114,115,0.000156167
115,116,0.000156593
116,117,0.00015305
117,118,0.000149818
118,119,0.000146276
119,120,0.000138688
120,121,0.000136539
121,122,0.000137236
122,123,0.000137449
123,124,0.000137178
124,125,0.000138185
125,126,0.000144359
126,127,0.000144747
127,128,0.000144495
128,129,0.000155896
129,130,0.000159496
130,131,0.000150224
131,132,0.000152934
132,133,0.000151986
133,134,0.000148327
134,135,0.000156089
135,136,0.000155412
136,137,0.000158915
137,138,0.000160193
138,139,0.000161141
139,140,0.000165632
140,141,0.000170452
141,142,0.000160135
142,143,0.000156767
143,144,0.000147321
144,145,0.000142133
145,146,0.000141708
146,147,0.000143817
147,148,0.000147282
148,149,0.000151386
149,150,0.000157386
150,151,0.000161412
151,152,0.000166929
152,153,0.000168458
153,154,0.000168206
154,155,0.000164161
155,156,0.00016178
156,157,0.000159999
157,158,0.000159457
158,159,0.000158741
159,160,0.000162051
160,161,0.000164625
161,162,0.000166
162,163,0.000168593
163,164,0.000169155
164,165,0.000169077
165,166,0.000166851
166,167,0.000161838
167,168,0.000156089
168,169,0.000153031
169,170,0.000153689
170,171,0.000154038
171,172,0.000154715
172,173,0.000156322
173,174,0.000161993
174,175,0.000166097
175,176,0.000169774
176,177,0.000170665
177,178,0.000170665
178,179,0.000170665
179,180,0.000167374
180,181,0.000160948
181,182,0.000162032
182,183,0.000163638
183,184,0.000163232
184,185,0.00016749
185,186,0.00016931
186,187,0.000170916
187,188,0.000170665
188,189,0.000170665
