,scenario,year,climateyear,country_sym,technology,GWh
0,Historic,2017,2017,AT,Biomass,2600.148
1,Historic,2017,2017,AT,Coal,1406.8207
2,Historic,2017,2017,AT,Dam,4607.0405
3,Historic,2017,2017,AT,Gas,9727.145
4,Historic,2017,2017,AT,Oil,0
5,Historic,2017,2017,AT,Other,1069.3332
6,Historic,2017,2017,AT,PSP,4666.0435
7,Historic,2017,2017,AT,RoR,26857.2626
8,Historic,2017,2017,AT,Solar,1144.304365
9,Historic,2017,2017,AT,WindOn,6727.004853
50,Historic,2017,2017,BE,Biomass,2735.02735
51,Historic,2017,2017,BE,Coal,0.0001
52,Historic,2017,2017,BE,Gas,21822.005
53,Historic,2017,2017,BE,Nuclear,40186.65167
54,Historic,2017,2017,BE,Oil,11.06827
55,Historic,2017,2017,BE,Other,7178.24229
56,Historic,2017,2017,BE,PSP,1110.20407
57,Historic,2017,2017,BE,RoR,138.13073
58,Historic,2017,2017,BE,Solar,2888.21455
59,Historic,2017,2017,BE,WindOff,2791.98516
60,Historic,2017,2017,BE,WindOn,2639.48225
103,Historic,2017,2017,BG,Biomass,304.588
104,Historic,2017,2017,BG,Coal,177.504
105,Historic,2017,2017,BG,Dam,2288.478
106,Historic,2017,2017,BG,Gas,592.132
107,Historic,2017,2017,BG,Lignite,22422.637
108,Historic,2017,2017,BG,Nuclear,15548.697
109,Historic,2017,2017,BG,Other,11.108
110,Historic,2017,2017,BG,PSP,845.076
111,Historic,2017,2017,BG,RoR,269.047
112,Historic,2017,2017,BG,Solar,1325.829
113,Historic,2017,2017,BG,WindOn,1421.554
158,Historic,2017,2017,CH,Dam,8860.87187
159,Historic,2017,2017,CH,Nuclear,19623.6948
160,Historic,2017,2017,CH,PSP,6599.9289
161,Historic,2017,2017,CH,RoR,687.03767
162,Historic,2017,2017,CH,Solar,421.74479
163,Historic,2017,2017,CH,WindOn,79.21096
188,Historic,2017,2017,CZ,Biomass,2037.44187
189,Historic,2017,2017,CZ,Coal,4281.12803
190,Historic,2017,2017,CZ,Dam,906.783
191,Historic,2017,2017,CZ,Gas,5108.62739
192,Historic,2017,2017,CZ,Lignite,33241.69925
193,Historic,2017,2017,CZ,Nuclear,26725.04161
194,Historic,2017,2017,CZ,Oil,78.08537
195,Historic,2017,2017,CZ,Other,3598.06347
196,Historic,2017,2017,CZ,PSP,1153.06805
197,Historic,2017,2017,CZ,RoR,821.06225
198,Historic,2017,2017,CZ,Solar,2152.50139
199,Historic,2017,2017,CZ,WindOn,562.99709
248,Historic,2017,2017,DE,Biomass,40211.49274
249,Historic,2017,2017,DE,Coal,66002.39342
250,Historic,2017,2017,DE,Dam,606.72257
251,Historic,2017,2017,DE,Gas,29660.8971
252,Historic,2017,2017,DE,Lignite,129280.0121
253,Historic,2017,2017,DE,Nuclear,72213.30384
254,Historic,2017,2017,DE,Oil,1765.509385
255,Historic,2017,2017,DE,Other,47952.24245
256,Historic,2017,2017,DE,PSP,9290.602938
257,Historic,2017,2017,DE,RoR,14983.88532
258,Historic,2017,2017,DE,Solar,35883.17163
259,Historic,2017,2017,DE,WindOff,17418.37401
260,Historic,2017,2017,DE,WindOn,85252.771
313,Historic,2017,2017,DK,Biomass,4341.58771
314,Historic,2017,2017,DK,Coal,5412.45969
315,Historic,2017,2017,DK,Gas,2084.08191
316,Historic,2017,2017,DK,Oil,810.12741
317,Historic,2017,2017,DK,Other,1283.40938
318,Historic,2017,2017,DK,Solar,767.83983
319,Historic,2017,2017,DK,WindOff,5082.44723
320,Historic,2017,2017,DK,WindOn,9323.40298
353,Historic,2017,2017,EE,Biomass,559.9404
354,Historic,2017,2017,EE,Gas,437.5328
355,Historic,2017,2017,EE,Oil,9088.0701
356,Historic,2017,2017,EE,Other,180.8967
357,Historic,2017,2017,EE,RoR,24.201
358,Historic,2017,2017,EE,Solar,5.7215
359,Historic,2017,2017,EE,WindOn,700.0698
388,Historic,2017,2017,ES,Biomass,2982.499
389,Historic,2017,2017,ES,Coal,37961.816
390,Historic,2017,2017,ES,Dam,14045.592
391,Historic,2017,2017,ES,Gas,56707.674
392,Historic,2017,2017,ES,Lignite,4767.198
393,Historic,2017,2017,ES,Nuclear,55592.099
394,Historic,2017,2017,ES,Oil,2581.87
395,Historic,2017,2017,ES,Other,3869.417
396,Historic,2017,2017,ES,PSP,0
397,Historic,2017,2017,ES,RoR,6731.848
398,Historic,2017,2017,ES,Solar,13097.794
399,Historic,2017,2017,ES,WindOff,0
400,Historic,2017,2017,ES,WindOn,47140.553
453,Historic,2017,2017,FI,Biomass,7100.59765
454,Historic,2017,2017,FI,Coal,5843.5988
455,Historic,2017,2017,FI,Gas,4139.5911
456,Historic,2017,2017,FI,Nuclear,21560.5457
457,Historic,2017,2017,FI,Oil,3652.12597
458,Historic,2017,2017,FI,Other,1698.49977
459,Historic,2017,2017,FI,RoR,13764.10447
460,Historic,2017,2017,FI,WindOn,4116.35962
493,Historic,2017,2017,FR,Biomass,3049.839
494,Historic,2017,2017,FR,Coal,9682.22
495,Historic,2017,2017,FR,Dam,12495.339
496,Historic,2017,2017,FR,Gas,40939.009
497,Historic,2017,2017,FR,Nuclear,377983.769
498,Historic,2017,2017,FR,Oil,2429.724
499,Historic,2017,2017,FR,Other,2108.565
500,Historic,2017,2017,FR,PSP,5201.776
501,Historic,2017,2017,FR,RoR,35113.034
502,Historic,2017,2017,FR,Solar,8904.73
503,Historic,2017,2017,FR,WindOn,22843.103
548,Historic,2017,2017,GB,Biomass,2202.613
549,Historic,2017,2017,GB,Coal,21160.94882
550,Historic,2017,2017,GB,Gas,121017.9603
551,Historic,2017,2017,GB,Nuclear,65261.062
552,Historic,2017,2017,GB,Oil,5.950545
553,Historic,2017,2017,GB,Other,12173.82471
554,Historic,2017,2017,GB,PSP,2925.0575
555,Historic,2017,2017,GB,RoR,3946.2805
556,Historic,2017,2017,GB,Solar,10137.252
557,Historic,2017,2017,GB,WindOff,14589.5396
558,Historic,2017,2017,GB,WindOn,26727.24268
603,Historic,2017,2017,GR,Gas,16564.276
604,Historic,2017,2017,GR,Lignite,16779.447
605,Historic,2017,2017,GR,Oil,0
606,Historic,2017,2017,GR,Solar,3640.519
607,Historic,2017,2017,GR,WindOn,4220.285
668,Historic,2017,2017,HU,Biomass,876.9572375
669,Historic,2017,2017,HU,Dam,103.2262858
670,Historic,2017,2017,HU,Gas,6861.439198
671,Historic,2017,2017,HU,Lignite,4838.188768
672,Historic,2017,2017,HU,Nuclear,15168.57047
673,Historic,2017,2017,HU,Oil,15.5651325
674,Historic,2017,2017,HU,Other,950.9262
675,Historic,2017,2017,HU,RoR,84.6417475
676,Historic,2017,2017,HU,WindOn,692.6607792
718,Historic,2017,2017,IE,Coal,3596.025445
719,Historic,2017,2017,IE,Gas,9138.576325
720,Historic,2017,2017,IE,Oil,5052.406195
721,Historic,2017,2017,IE,Other,14.553665
722,Historic,2017,2017,IE,PSP,504.310375
723,Historic,2017,2017,IE,RoR,642.039865
724,Historic,2017,2017,IE,WindOn,7204.68847
753,Historic,2017,2017,IT,Biomass,3014.751
754,Historic,2017,2017,IT,Coal,20158.696
755,Historic,2017,2017,IT,Dam,6030.599
756,Historic,2017,2017,IT,Gas,73758.825
757,Historic,2017,2017,IT,Oil,1313.188
758,Historic,2017,2017,IT,Other,86220.959
759,Historic,2017,2017,IT,PSP,2616.821
760,Historic,2017,2017,IT,RoR,27321.475
761,Historic,2017,2017,IT,Solar,19754.123
762,Historic,2017,2017,IT,WindOn,17503.158
803,Historic,2017,2017,LT,Biomass,149.26612
804,Historic,2017,2017,LT,Gas,473.82783
805,Historic,2017,2017,LT,Oil,108.613
806,Historic,2017,2017,LT,Other,247.98208
807,Historic,2017,2017,LT,PSP,573.96945
808,Historic,2017,2017,LT,RoR,496.41333
809,Historic,2017,2017,LT,Solar,63.41929
810,Historic,2017,2017,LT,WindOn,1171.84627
839,Historic,2017,2017,LV,Biomass,722.328
840,Historic,2017,2017,LV,Gas,1434.019
841,Historic,2017,2017,LV,Other,784.911
842,Historic,2017,2017,LV,RoR,4230.137
843,Historic,2017,2017,LV,WindOn,126.049
864,Historic,2017,2017,NL,Biomass,178.4776
865,Historic,2017,2017,NL,Coal,30011.72971
866,Historic,2017,2017,NL,Gas,37724.51876
867,Historic,2017,2017,NL,Nuclear,3221.74605
868,Historic,2017,2017,NL,Other,19822.38779
869,Historic,2017,2017,NL,RoR,0
870,Historic,2017,2017,NL,Solar,1.15975
871,Historic,2017,2017,NL,WindOff,3629.157148
872,Historic,2017,2017,NL,WindOn,2764.361968
909,Historic,2017,2017,NO,Dam,129478.3409
910,Historic,2017,2017,NO,Gas,2917.97731
911,Historic,2017,2017,NO,Other,380.47667
912,Historic,2017,2017,NO,RoR,11632.48954
913,Historic,2017,2017,NO,WindOn,2654.25849
937,Historic,2017,2017,PL,Biomass,1310.18104
938,Historic,2017,2017,PL,Coal,78042.44925
939,Historic,2017,2017,PL,Dam,145.2209
940,Historic,2017,2017,PL,Gas,6630.46408
941,Historic,2017,2017,PL,Lignite,47291.16624
942,Historic,2017,2017,PL,Oil,1734.65933
943,Historic,2017,2017,PL,PSP,707.94694
944,Historic,2017,2017,PL,RoR,1909.02173
945,Historic,2017,2017,PL,WindOn,14412.92099
984,Historic,2017,2017,PT,Biomass,2806.1803
985,Historic,2017,2017,PT,Coal,13624.6279
986,Historic,2017,2017,PT,Dam,1382.8437
987,Historic,2017,2017,PT,Gas,17697.2142
988,Historic,2017,2017,PT,Other,318.5009
989,Historic,2017,2017,PT,PSP,2576.6739
990,Historic,2017,2017,PT,RoR,3432.6598
991,Historic,2017,2017,PT,Solar,843.1192
992,Historic,2017,2017,PT,WindOn,11972.5969
1031,Historic,2017,2017,RO,Biomass,416.08077
1032,Historic,2017,2017,RO,Coal,1413.09564
1033,Historic,2017,2017,RO,Dam,4662.58822
1034,Historic,2017,2017,RO,Gas,10669.06586
1035,Historic,2017,2017,RO,Lignite,15754.609
1036,Historic,2017,2017,RO,Nuclear,11494.2899
1037,Historic,2017,2017,RO,RoR,9875.88632
1038,Historic,2017,2017,RO,Solar,1359.20487
1039,Historic,2017,2017,RO,WindOn,7294.03982
1076,Historic,2017,2017,SE,Dam,65024.326
1077,Historic,2017,2017,SE,Nuclear,63030.288
1078,Historic,2017,2017,SE,Other,8180.867
1079,Historic,2017,2017,SE,WindOn,17307.527
1096,Historic,2017,2017,SI,Biomass,80.49614
1097,Historic,2017,2017,SI,Gas,269.64715
1098,Historic,2017,2017,SI,Lignite,4335.89176
1099,Historic,2017,2017,SI,Nuclear,5964.51979
1100,Historic,2017,2017,SI,Oil,1.49961
1101,Historic,2017,2017,SI,Other,105.19346
1102,Historic,2017,2017,SI,PSP,270.41107
1103,Historic,2017,2017,SI,RoR,3750.17451
1104,Historic,2017,2017,SI,Solar,290.69212
1105,Historic,2017,2017,SI,WindOn,4.77983
1146,Historic,2017,2017,SK,Biomass,423.7117
1147,Historic,2017,2017,SK,Coal,706.1945
1148,Historic,2017,2017,SK,Dam,129.19854
1149,Historic,2017,2017,SK,Gas,1152.822
1150,Historic,2017,2017,SK,Lignite,1568.697
1151,Historic,2017,2017,SK,Nuclear,14943.3026
1152,Historic,2017,2017,SK,Oil,417.5971
1153,Historic,2017,2017,SK,Other,3550.0528
1154,Historic,2017,2017,SK,PSP,264.08121
1155,Historic,2017,2017,SK,RoR,3785.27753
1156,Historic,2017,2017,SK,Solar,516.3105
1157,Historic,2017,2017,SK,WindOn,0
10,Historic,2018,2018,AT,Biomass,2575.101
11,Historic,2018,2018,AT,Coal,1422.4272
12,Historic,2018,2018,AT,Dam,4650.85
13,Historic,2018,2018,AT,Gas,8168.0427
14,Historic,2018,2018,AT,Oil,0
15,Historic,2018,2018,AT,Other,1069.3332
16,Historic,2018,2018,AT,PSP,4696.4623
17,Historic,2018,2018,AT,RoR,25363.0446
18,Historic,2018,2018,AT,Solar,1423.551407
19,Historic,2018,2018,AT,WindOn,6395.574053
61,Historic,2018,2018,BE,Biomass,2619.77955
62,Historic,2018,2018,BE,Coal,0
63,Historic,2018,2018,BE,Gas,22303.64199
