,country_sym,week,dam_inflow_MWh,pump_inflow_MWh
0,AT,w1,7877.815032,23988.20792
1,AT,w2,6998.9391669999995,21312.00178
2,AT,w3,6172.357427999999,18795.03298
3,AT,w4,5962.833567,18157.025879999997
4,AT,w5,5982.420972,18216.67018
5,AT,w6,6032.313123,18368.59343
6,AT,w7,6620.789332,20160.52299
7,AT,w8,8167.378233999999,24869.93747
8,AT,w9,10354.5987,31530.096289999998
9,AT,w10,12582.12412,38312.98503
10,AT,w11,14498.275469999999,44147.72941
11,AT,w12,15860.508749999999,48295.77491
12,AT,w13,16852.37078,51316.027669999996
13,AT,w14,17811.456589999998,54236.47575
14,AT,w15,19504.49545,59391.835210000005
15,AT,w16,23888.69551,72741.86972
16,AT,w17,30964.05675,94286.57927
17,AT,w18,38773.371060000005,118066.20019999999
18,AT,w19,46501.60024,141598.9142
19,AT,w20,53629.79956,163304.51750000002
20,AT,w21,59986.5319,182660.97819999998
21,AT,w22,65988.80645,200938.1031
22,AT,w23,71936.09182999999,219047.7843
23,AT,w24,76134.49957,231832.075
24,AT,w25,76526.52655,233025.8102
25,AT,w26,73958.03516,225204.6687
26,AT,w27,70989.47372000001,216165.3008
27,AT,w28,68292.99943,207954.4472
28,AT,w29,66594.17805,202781.4797
29,AT,w30,65893.00957000001,200646.3985
30,AT,w31,65463.92824,199339.8316
31,AT,w32,64974.262460000005,197848.7831
32,AT,w33,63799.99241,194273.0918
33,AT,w34,61601.845160000004,187579.6606
34,AT,w35,58828.14564,179133.6536
35,AT,w36,56020.53102,170584.374
36,AT,w37,52789.039529999995,160744.3753
37,AT,w38,48387.35806,147341.1093
38,AT,w39,42945.91025,130771.72039999999
39,AT,w40,37301.581210000004,113584.5513
40,AT,w41,31905.51537,97153.35197
41,AT,w42,27781.7985,84596.49740000001
42,AT,w43,25090.02837,76399.96813000001
43,AT,w44,22916.95103,69782.87557
44,AT,w45,20756.8065,63205.16386
45,AT,w46,18758.1533,57119.19863
