country_sym,year,week,Dam,PSClosed,PSOpen
AT,2017,w1,253451,,572527
BG,2017,w1,850145,9479.67,257464
CH,2017,w1,2.92E+06,240175,
ES,2017,w1,4.66E+06,37541.1,2.43E+06
FR,2017,w1,1.71E+06,1713.94,15425.5
HR,2017,w1,546442,,4887.77
IT,2017,w1,2.67E+06,10596.6,180653
NO,2017,w1,,,5.20E+07
PT,2017,w1,594027,,983673
RO,2017,w1,1.31E+06,,56204.8
SE,2017,w1,1.72E+07,,
AT,2017,w53,389594,,880065
BG,2017,w53,1.27E+06,14181.7,385168
CH,2017,w53,2.96E+06,243421,
ES,2017,w53,3.34E+06,26875.7,1.74E+06
FR,2017,w53,1.56E+06,1561.87,14056.8
HR,2017,w53,786941,,7038.97
IT,2017,w53,2.78E+06,11041.4,188237
NO,2017,w53,,,5.73E+07
PT,2017,w53,546640,,905203
RO,2017,w53,1.57E+06,,67525.7
SE,2017,w53,2.14E+07,,
AT,2018,w1,389594,,880065
BG,2018,w1,1.27E+06,14181.7,385168
CH,2018,w1,2.96E+06,243421,
ES,2018,w1,3.34E+06,26875.7,1.74E+06
FR,2018,w1,1.56E+06,1561.87,14056.8
GR,2018,w1,1.79E+06,,2299.7
HR,2018,w1,786941,,7038.97
IT,2018,w1,2.78E+06,11041.4,188237
NO,2018,w1,,,5.73E+07
PT,2018,w1,546640,,905203
RO,2018,w1,1.57E+06,,67525.7
SE,2018,w1,2.14E+07,,
AT,2018,w53,433330,,978864
BG,2018,w53,854907,9532.77,258906
CH,2018,w53,4.30E+06,353524,
ES,2018,w53,5.31E+06,42789.4,2.77E+06
FR,2018,w53,2.16E+06,2164.84,19483.6
GR,2018,w53,1.66E+06,,2131.95
HR,2018,w53,432491,,3868.51
IT,2018,w53,2.83E+06,11235.6,191546
NO,2018,w53,,,5.15E+07
PT,2018,w53,576939,,955375
RO,2018,w53,1.44E+06,,61698.5
SE,2018,w53,1.80E+07,,
AT,2019,w1,433330,,978864
BG,2019,w1,854907,9532.77,258906
CH,2019,w1,4.30E+06,353524,
ES,2019,w1,5.31E+06,42789.4,2.77E+06
FR,2019,w1,2.16E+06,2164.84,19483.6
GR,2019,w1,1.66E+06,,2131.95
HR,2019,w1,432491,,3868.51
IT,2019,w1,2.83E+06,11235.6,191546
NO,2019,w1,,,5.15E+07
PT,2019,w1,576939,,955375
RO,2019,w1,1.44E+06,,61698.5
SE,2019,w1,1.80E+07,,
AT,2019,w53,481930,,1.09E+06
BG,2019,w53,1.05E+06,11678.5,317183
CH,2019,w53,4.64E+06,381452,
ES,2019,w53,6.22E+06,50136.5,3.25E+06
FR,2019,w53,2.75E+06,2752.69,24774.2
GR,2019,w53,2.12E+06,,2730.14
HR,2019,w53,961559,,8600.88
IT,2019,w53,3.07E+06,12175.8,207576
NO,2019,w53,,,5.57E+07
PT,2019,w53,905055,,1.50E+06
RO,2019,w53,2.01E+06,,86473.4
SE,2019,w53,2.07E+07,,
AT,2020,w1,481930,,1.09E+06
BG,2020,w1,1.05E+06,11678.5,317183
CH,2020,w1,4.64E+06,381452,
ES,2020,w1,6.22E+06,50136.5,3.25E+06
FR,2020,w1,2.75E+06,2752.69,24774.2
GR,2020,w1,2.12E+06,,2730.14
HR,2020,w1,961559,,8600.88
IT,2020,w1,3.07E+06,12175.8,207576
NO,2020,w1,,,5.57E+07
PT,2020,w1,905055,,1.50E+06
RO,2020,w1,2.01E+06,,86473.4
SE,2020,w1,2.07E+07,,
AT,2020,w53,342766.5679,,774288.4321
BG,2020,w53,1327438.457,14801.77403,402009.7695
CH,2020,w53,3526921.118,289765.8817,
ES,2020,w53,6132572.533,49412.72223,3203545.745
FR,2020,w53,2383491.098,2383.491098,21451.41122
GR,2020,w53,2032053.37,,2612.630477
HR,2020,w53,997676.0628,,8923.937164
IT,2020,w53,2994650.148,11874.44393,202438.4085
NO,2020,w53,,,68216000
PT,2020,w53,648991.9534,,1074694.047
RO,2020,w53,1852820.551,,79579.44928
SE,2020,w53,24806000,,
