country_sym,week,PSClosed,PSOpen,Dam
AT,w1,0,0.31840485,0.31840485
AT,w2,0,0.299487362,0.299487362
AT,w3,0,0.265948064,0.265948064
AT,w4,0,0.235650742,0.235650742
AT,w5,0,0.217317201,0.217317201
AT,w6,0,0.213152753,0.213152753
AT,w7,0,0.211602471,0.211602471
AT,w8,0,0.209610646,0.209610646
AT,w9,0,0.197124576,0.197124576
AT,w10,0,0.191643285,0.191643285
AT,w11,0,0.188556342,0.188556342
AT,w12,0,0.178567066,0.178567066
AT,w13,0,0.167265757,0.167265757
AT,w14,0,0.158749452,0.158749452
AT,w15,0,0.15830803,0.15830803
AT,w16,0,0.153214672,0.153214672
AT,w17,0,0.151801525,0.151801525
AT,w18,0,0.15159928,0.15159928
AT,w19,0,0.171248031,0.171248031
AT,w20,0,0.202962182,0.202962182
AT,w21,0,0.246823808,0.246823808
AT,w22,0,0.308722047,0.308722047
AT,w23,0,0.351993304,0.351993304
AT,w24,0,0.387994322,0.387994322
AT,w25,0,0.438594442,0.438594442
AT,w26,0,0.479397686,0.479397686
AT,w27,0,0.515090611,0.515090611
AT,w28,0,0.544631033,0.544631033
AT,w29,0,0.576867719,0.576867719
AT,w30,0,0.612582864,0.612582864
AT,w31,0,0.656001007,0.656001007
AT,w32,0,0.6801846,0.6801846
AT,w33,0,0.692092832,0.692092832
AT,w34,0,0.685578219,0.685578219
AT,w35,0,0.694379863,0.694379863
AT,w36,0,0.698208254,0.698208254
AT,w37,0,0.69486909,0.69486909
AT,w38,0,0.679471433,0.679471433
AT,w39,0,0.67672583,0.67672583
AT,w40,0,0.684670948,0.684670948
AT,w41,0,0.668282959,0.668282959
AT,w42,0,0.654989297,0.654989297
AT,w43,0,0.655423097,0.655423097
AT,w44,0,0.644855439,0.644855439
AT,w45,0,0.626726599,0.626726599
AT,w46,0,0.61160345,0.61160345
AT,w47,0,0.592139916,0.592139916
AT,w48,0,0.568776945,0.568776945
AT,w49,0,0.556995298,0.556995298
AT,w50,0,0.51664212,0.51664212
AT,w51,0,0.507220068,0.507220068
AT,w52,0,0.506762248,0.506762248
BG,w1,0.612446795,0.612446795,0.612446795
BG,w2,0.58955648,0.58955648,0.58955648
BG,w3,0.576265466,0.576265466,0.576265466
BG,w4,0.574233655,0.574233655,0.574233655
BG,w5,0.584604246,0.584604246,0.584604246
BG,w6,0.585249645,0.585249645,0.585249645
BG,w7,0.587095198,0.587095198,0.587095198
BG,w8,0.598321304,0.598321304,0.598321304
BG,w9,0.630830035,0.630830035,0.630830035
BG,w10,0.651486369,0.651486369,0.651486369
BG,w11,0.665180571,0.665180571,0.665180571
BG,w12,0.683107172,0.683107172,0.683107172
BG,w13,0.701029475,0.701029475,0.701029475
BG,w14,0.715514496,0.715514496,0.715514496
BG,w15,0.745911004,0.745911004,0.745911004
BG,w16,0.763606912,0.763606912,0.763606912
BG,w17,0.800891604,0.800891604,0.800891604
BG,w18,0.83759557,0.83759557,0.83759557
BG,w19,0.868129503,0.868129503,0.868129503
BG,w20,0.89598312,0.89598312,0.89598312
BG,w21,0.931928497,0.931928497,0.931928497
BG,w22,0.962072528,0.962072528,0.962072528
BG,w23,0.983816625,0.983816625,0.983816625
BG,w24,0.998045667,0.998045667,0.998045667
BG,w25,0.995817728,0.995817728,0.995817728
BG,w26,0.984920075,0.984920075,0.984920075
BG,w27,0.960172631,0.960172631,0.960172631
BG,w28,0.961542428,0.961542428,0.961542428
