scenario,year,node,from,to,ntc
Historic,2019,BE-GB,BE,GB,1000
Historic,2019,GB-BE,GB,BE,1000
Historic,2019,AT-CH,AT,CH,1200
Historic,2019,AT-CZ,AT,CZ,900
Historic,2019,AT-DE,AT,DE,5000
Historic,2019,AT-HU,AT,HU,800
Historic,2019,AT-IT,AT,IT,405
Historic,2019,AT-SI,AT,SI,950
Historic,2019,BE-DE,BE,DE,1000
Historic,2019,BE-FR,BE,FR,1800
Historic,2019,BE-NL,BE,NL,2400
Historic,2019,BG-GR,BG,GR,401
Historic,2019,BG-RO,BG,RO,300
Historic,2019,CH-AT,CH,AT,1200
Historic,2019,CH-DE,CH,DE,4600
Historic,2019,CH-FR,CH,FR,1180
Historic,2019,CH-IT,CH,IT,4240
Historic,2019,CZ-AT,CZ,AT,800
Historic,2019,CZ-DE,CZ,DE,2100
Historic,2019,CZ-PL,CZ,PL,600
Historic,2019,CZ-SK,CZ,SK,1800
Historic,2019,DE-AT,DE,AT,5000
Historic,2019,DE-BE,DE,BE,1000
Historic,2019,DE-CH,DE,CH,2700
Historic,2019,DE-CZ,DE,CZ,1500
Historic,2019,DE-DK,DE,DK,2297
Historic,2019,DE-FR,DE,FR,2300
Historic,2019,DE-NL,DE,NL,4250
Historic,2019,DE-PL,DE,PL,500
Historic,2019,DE-SE,DE,SE,615
Historic,2019,DK-DE,DK,DE,1426
Historic,2019,DK-NO,DK,NO,1640
Historic,2019,DK-SE,DK,SE,740
Historic,2019,EE-FI,EE,FI,1006
Historic,2019,EE-LV,EE,LV,795
Historic,2019,ES-FR,ES,FR,2600
Historic,2019,ES-PT,ES,PT,4200
Historic,2019,FI-EE,FI,EE,1008
Historic,2019,FI-SE,FI,SE,2300
Historic,2019,FR-BE,FR,BE,3300
Historic,2019,FR-CH,FR,CH,3006
Historic,2019,FR-DE,FR,DE,1800
Historic,2019,FR-ES,FR,ES,2800
Historic,2019,FR-GB,FR,GB,2000
Historic,2019,FR-IT,FR,IT,4350
Historic,2019,GB-FR,GB,FR,2000
Historic,2019,GB-IE,GB,IE,950
Historic,2019,GB-NL,GB,NL,1000
Historic,2019,GR-BG,GR,BG,364
Historic,2019,GR-IT,GR,IT,500
Historic,2019,HR-HU,HR,HU,1000
Historic,2019,HR-SI,HR,SI,1464
Historic,2019,HU-AT,HU,AT,800
Historic,2019,HU-HR,HU,HR,1200
Historic,2019,HU-RO,HU,RO,677
Historic,2019,HU-SK,HU,SK,792
Historic,2019,IE-GB,IE,GB,580
Historic,2019,IT-AT,IT,AT,235
Historic,2019,IT-CH,IT,CH,1910
Historic,2019,IT-FR,IT,FR,2160
Historic,2019,IT-GR,IT,GR,500
Historic,2019,IT-SI,IT,SI,649
Historic,2019,LT-LV,LT,LV,587
Historic,2019,LT-PL,LT,PL,377
Historic,2019,LT-SE,LT,SE,450
Historic,2019,LV-EE,LV,EE,649
Historic,2019,LV-LT,LV,LT,1044
Historic,2019,NL-BE,NL,BE,1400
Historic,2019,NL-DE,NL,DE,4250
Historic,2019,NL-GB,NL,GB,1000
Historic,2019,NL-NO,NL,NO,700
Historic,2019,NO-DK,NO,DK,1640
Historic,2019,NO-NL,NO,NL,700
Historic,2019,NO-SE,NO,SE,2145
Historic,2019,PL-CZ,PL,CZ,800
Historic,2019,PL-DE,PL,DE,1000
Historic,2019,PL-LT,PL,LT,268
Historic,2019,PL-SE,PL,SE,600
Historic,2019,PL-SK,PL,SK,540
Historic,2019,PT-ES,PT,ES,3500
Historic,2019,RO-BG,RO,BG,263
Historic,2019,RO-HU,RO,HU,581
Historic,2019,SE-DE,SE,DE,615
Historic,2019,SE-DK,SE,DK,680
Historic,2019,SE-FI,SE,FI,2400
Historic,2019,SE-LT,SE,LT,579
Historic,2019,SE-NO,SE,NO,2095
Historic,2019,SE-PL,SE,PL,600
Historic,2019,SI-AT,SI,AT,950
Historic,2019,SI-HR,SI,HR,1467
Historic,2019,SI-IT,SI,IT,548
Historic,2019,SK-CZ,SK,CZ,1100
Historic,2019,SK-HU,SK,HU,1117
Historic,2019,SK-PL,SK,PL,491
Historic,2019,DK-NL,DK,NL,700
Historic,2019,NL-DK,NL,DK,700
