time,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK
01/01/2017 00:00,0,0,0,0.19,0,0,0,0.7,30,,0,0,0,,,,0,0,,0,,,0,0,,0,0
01/01/2017 01:00,0,0,0,0.19,0,0,0,0.7,50,,0,0,0,,,,0,0,,0,,,0,0,,0,0
01/01/2017 02:00,0,0,0,0.19,0,0,0,0.7,87,,0,0,0,,,,0,0,,0,,,0,0,,0,0
01/01/2017 03:00,0,0,0,0.19,-1.39E-17,0,1.08E-19,0.7,92,,2.78E-17,1.73E-18,2.22E-16,,,,-2.22E-16,8.67E-19,,0,,,0,-5.42E-20,,-3.47E-18,-2.17E-19
01/01/2017 04:00,0,0,0,0.19,0,0,0,0.7,92,,0,0,0,,,,0,0,,0,,,0,0,,0,0
01/01/2017 05:00,0,0,0,0.15,2.22E-16,0,8.67E-19,0.7,92,,-4.44E-16,2.78E-17,7,,,,7.11E-15,-1.39E-17,,0,,,0,1.73E-18,,-5.55E-17,-3.47E-18
01/01/2017 06:00,7.83,0,33,0.15,9.15,0.75,0,0.7,88,,0,0,209,,,,55,0,,0,,,0,19,,0,0
01/01/2017 07:00,17.4525,0.18,123,2,50.2,273.865,0.04,0.7,59,,99,-4.44E-16,547,,,,1108,1,,0,,,0.1,127,,13.89,0.1
01/01/2017 08:00,56.35,45.56,230,19.05,224.68,2082.84,2.39,0.7,386,,423,48,889,,,,3237,1,,0,,,33.4,293,,52.29,7.1
01/01/2017 09:00,114.075,174.55,324,45.79,423.39,4678.8675,11.56,0.7,1105,,1005,227,1123,,,,5316,5,,0,,,125.7,399,,91.46,30.7
01/01/2017 10:00,161.69,304.89,355,67.97,556.65,6830.425,24.45,0.7,1796,,1399,434,1210,,,,6368,5,,0,,,191.2,421,,117.19,52.9
01/01/2017 11:00,179.39,311.22,340,79.61,579.55,7925.885,32.15,0.7,2368,,1611,560,1161,,,,6506,5,,0,,,225.1,426,,124.94,67.3
01/01/2017 12:00,161.05,218.05,286,77.24,472.68,7084.2475,34.4,0.7,2565,,1578,544,966,,,,5812,4,,0,,,239.7,346,,109.01,66.4
01/01/2017 13:00,113.695,146.14,139,58.23,268.68,4635.205,19.65,0.7,2619,,1314,476,619,,,,3861,0,,0,,,211.9,174,,72.33,56.4
01/01/2017 14:00,54.6925,63.51,22,27.31,73.55,1660.5075,3.95,0.7,2468,,769,308.5,233,,,,1652,0,,0,,,163.6,29,,29.15,32.4
01/01/2017 15:00,17.015,6.85,0,3.68,10.3,118.13,0.02,0.7,1907,,257,114,7,,,,163,0,,0,,,87.3,0,,4.73,6.7
01/01/2017 16:00,7.9,0,0,0.16,0,0.25,0,0.7,860,,69,0,0,,,,0,0,,0,,,24.3,0,,0.07,0.1
01/01/2017 17:00,7.83,0,0,0.18,-4.44E-16,0,0,0.7,190,,0,7.11E-15,0,,,,0,0,,0,,,0.2,2.78E-17,,-5.55E-17,-8.33E-17
01/01/2017 18:00,0,0,0,0.18,0,0,0,0.7,81,,0,0,0,,,,0,0,,0,,,0,0,,0,2.9
01/01/2017 19:00,0,0,0,0.18,-2.78E-17,0,0,0.7,80,,0,0,0,,,,0,-4.34E-19,,0,,,0,-1.73E-18,,1.73E-18,3.2
01/01/2017 20:00,0,0,0,0.18,0,0,0,0.7,63,,0,0,0,,,,0,0,,0,,,0,0,,0,3.2
01/01/2017 21:00,0,0,0,0.18,-1.73E-18,0,1.08E-19,0.7,39,,0,-5.55E-17,-1.39E-17,,,,5.55E-17,0,,0,,,0,0,,0,3.2
01/01/2017 22:00,0,0,0,0.18,0,0,0,0.7,33,,0,0,0,,,,0,0,,0,,,0,0,,0,2.3
01/01/2017 23:00,0,0,0,0.18,-2.17E-19,0,1.36E-20,0.7,33,,0,3.47E-18,-3.47E-18,,,,0,0,,0,,,0,1.36E-20,,5.42E-20,0
02/01/2017 00:00,0,0,0,0.18,0,0,0,0.7,33,,0,0,0,,,,1,0,,0,,,0,0,,0,0
02/01/2017 01:00,0,0,0,0.18,-1.73E-18,0,0,0.7,33,,-3.47E-18,0,-2.78E-17,,,,1.11E-16,-5.42E-20,,0,,,0,0,,-2.17E-19,0
02/01/2017 02:00,0,0,0,0.18,0,0,0,0.7,33,,0,0,0,,,,1,0,,0,,,0,0,,0,0
02/01/2017 03:00,0,0,0,0.16,-1.39E-17,0,1.73E-18,0.7,33,,-2.78E-17,0,4.44E-16,,,,0,0,,0,,,0,8.67E-19,,0,0
02/01/2017 04:00,0,0,0,0.15,0,0,0.01,0.7,33,,0,0,0,,,,0,0,,0,,,0,0,,0,0
02/01/2017 05:00,0,0,0,0.14,2.22E-16,0,-8.67E-18,0.7,31,,-8.88E-16,-5.55E-17,9,,,,-3.55E-15,0,,0,,,0,-1.39E-17,,-5.55E-17,-3.47E-18
02/01/2017 06:00,7.83,0,56,0.15,9.15,0,0,0.7,41,,0,0,253,,,,60,0,,0,,,0,26,,0,0
02/01/2017 07:00,17.3975,0,222,2.16,29.23,105.3575,0.63,0.7,50,,102,8.88E-16,652,,,,992,1,,0,,,0,174,,12.43,-5.55E-17
02/01/2017 08:00,54.45,37.82,378,17.82,108.54,773.73,22.28,0.7,254,,395,233.5,1043,,,,2897,1,,0,,,12.4,390,,46.29,6
02/01/2017 09:00,102.2175,168.89,472,37.23,164.32,1627.1575,86.19,0.7,789,,887,1550,1280,,,,4693,5,,0,,,56.9,528,,82.68,27.2
02/01/2017 10:00,140.115,325.12,503,58.03,199.53,2401.1775,156.52,0.7,1515,,1228,3060,1350,,,,5295,5,,0,,,85.2,583,,108.56,48.8
02/01/2017 11:00,154.61,534.6,478,65.69,173.31,2868.22,183.82,0.7,2155,,1424,3885,1285,,,,5451,5,,0,,,99.1,564,,116.53,60.5
02/01/2017 12:00,138.34,583.32,368,58.46,109.88,2527.89,155.23,0.7,2351,,1481,4010,1070,,,,5051,4,,0,,,74.8,448,,100.74,54.6
02/01/2017 13:00,96.7925,365.46,185,35.9,53.96,1572.26,81.85,0.7,2292,,1242,3405,688,,,,3109,1,,0,,,42,209,,65.44,37.7
02/01/2017 14:00,46.7875,175.78,29,15.73,18.02,556.4925,13.65,0.7,1998,,751,2080,264,,,,1405,0,,0,,,27.6,40,,25.28,19.6
02/01/2017 15:00,15.355,28.73,0,2.33,9.74,47.7625,0.08,0.7,1321,,268,568,8,,,,181,0,,0,,,19.9,-1.42E-14,,4.24,4.7
02/01/2017 16:00,7.83,0,0,0.27,0,0,0,0.7,470,,70,11,0,,,,0,0,,0,,,5.4,0,,0.07,0.6
02/01/2017 17:00,7.83,0,0,0.26,-8.88E-16,0,0,0.7,118,,0,0,0,,,,-7.11E-15,0,,0,,,0,-2.22E-16,,5.55E-17,0.4
