time,year,month,quarter,day,hour,week,t
01/01/2017 00:00,2017,jan,1,1,0,w1,1
01/01/2017 01:00,2017,jan,1,1,1,w1,2
01/01/2017 02:00,2017,jan,1,1,2,w1,3
01/01/2017 03:00,2017,jan,1,1,3,w1,4
01/01/2017 04:00,2017,jan,1,1,4,w1,5
01/01/2017 05:00,2017,jan,1,1,5,w1,6
01/01/2017 06:00,2017,jan,1,1,6,w1,7
01/01/2017 07:00,2017,jan,1,1,7,w1,8
01/01/2017 08:00,2017,jan,1,1,8,w1,9
01/01/2017 09:00,2017,jan,1,1,9,w1,10
01/01/2017 10:00,2017,jan,1,1,10,w1,11
01/01/2017 11:00,2017,jan,1,1,11,w1,12
01/01/2017 12:00,2017,jan,1,1,12,w1,13
01/01/2017 13:00,2017,jan,1,1,13,w1,14
01/01/2017 14:00,2017,jan,1,1,14,w1,15
01/01/2017 15:00,2017,jan,1,1,15,w1,16
01/01/2017 16:00,2017,jan,1,1,16,w1,17
01/01/2017 17:00,2017,jan,1,1,17,w1,18
01/01/2017 18:00,2017,jan,1,1,18,w1,19
01/01/2017 19:00,2017,jan,1,1,19,w1,20
01/01/2017 20:00,2017,jan,1,1,20,w1,21
01/01/2017 21:00,2017,jan,1,1,21,w1,22
01/01/2017 22:00,2017,jan,1,1,22,w1,23
01/01/2017 23:00,2017,jan,1,1,23,w1,24
02/01/2017 00:00,2017,jan,1,2,0,w1,25
02/01/2017 01:00,2017,jan,1,2,1,w1,26
02/01/2017 02:00,2017,jan,1,2,2,w1,27
02/01/2017 03:00,2017,jan,1,2,3,w1,28
02/01/2017 04:00,2017,jan,1,2,4,w1,29
02/01/2017 05:00,2017,jan,1,2,5,w1,30
02/01/2017 06:00,2017,jan,1,2,6,w1,31
02/01/2017 07:00,2017,jan,1,2,7,w1,32
02/01/2017 08:00,2017,jan,1,2,8,w1,33
02/01/2017 09:00,2017,jan,1,2,9,w1,34
02/01/2017 10:00,2017,jan,1,2,10,w1,35
02/01/2017 11:00,2017,jan,1,2,11,w1,36
02/01/2017 12:00,2017,jan,1,2,12,w1,37
02/01/2017 13:00,2017,jan,1,2,13,w1,38
02/01/2017 14:00,2017,jan,1,2,14,w1,39
02/01/2017 15:00,2017,jan,1,2,15,w1,40
02/01/2017 16:00,2017,jan,1,2,16,w1,41
02/01/2017 17:00,2017,jan,1,2,17,w1,42
02/01/2017 18:00,2017,jan,1,2,18,w1,43
02/01/2017 19:00,2017,jan,1,2,19,w1,44
02/01/2017 20:00,2017,jan,1,2,20,w1,45
02/01/2017 21:00,2017,jan,1,2,21,w1,46
